id,email
1,maria.okafor@gmail.con
2,"ines.costa@example,com"
3,lee.park(at)example(dot)net
4,sam.okoro AT example DOT com
5,"sales@globex.ca, support@globex.ca"
6,mailto:li.wei@example.com
7,mary.jones [at] example [dot] org
8,n/a
9,ana.lopez@example.com; bo.lin@example.com
10,k.nguyen@riverbend.io
11,dan.reyes@hotmial.com
12,Priya Nair <priya.nair@example.com>
13,t.brennan@yahoo.cmo
14,@example.com
15,none
16,maria.okafor@gmail.co
17,Info@Harbor-Freight-Supply.com
18,liz.moreau@gmail.cm
19,ana.lopez@example.com
20,pat.kim@@example.com
21,tom.berg@example.com.
22,bob.chen @example.net
23,john.smith at example dot com
24,bob.chen@example
25,<omar.haddad@example.org>
26,noor.ali@exa​mple.com
27,rosa.diaz@example..com
28,
29,Ana.Lopez@Example.COM
30,j.smith@acmewidgets.com
31,SALES@GLOBEX.CA
32,ops+billing@example.org
33,info@northwind-traders.co.uk
34,ana.lopez.example.com
35,eve.larsen@outlook.comm
