id,phone
1,+44 (0) 117 496 0188
2,555 0149
3, 415-555-0164 
4,303-555-0121 / 303-555-0137
5,-
6,(015) 555-0112
7,+44 20 7946 0176
8,303.555.0199 extension 7
9,+447700900158
10,1 (212) 555-0170
11,(303) 555-0107 x305
12,1-514-555-0165
13,
14,+44 (0)20 7946 0168
15,011 44 20 7946 0195
16,555-0126
17,514-555-0186
18,16045550166
19,+1-613-555-0182
20,011-44-7700-900169
21,512-555-01399
22,+13125550104
23,415-555-013
24,+44 7700 900127
25,+16135550108
26,613-555-01O7
27,+44 161 496 0119
28,(415) 555-0192
29,unknown
30,+442079460177
31,604 555 0113
32,206-555-0153 ext. 12
33,5145550146
34,+1 212 555 0109
35,+415 555 0150
36,416.555.0193
37,303–555–0100
38,n/a
