id,phone,review
1,+44 (0) 117 496 0188,no
2,555 0149,no
3, 415-555-0164 ,no
4,303-555-0121 / 303-555-0137,no
5,-,no
6,(015) 555-0112,no
7,+44 20 7946 0176,no
8,303.555.0199 extension 7,no
9,+447700900158,no
10,1 (212) 555-0170,no
11,(303) 555-0107 x305,no
12,1-514-555-0165,no
13,,no
14,+44 (0)20 7946 0168,no
15,011 44 20 7946 0195,no
16,555-0126,no
17,514-555-0186,no
18,16045550166,no
19,+1-613-555-0182,no
20,011-44-7700-900169,no
21,512-555-01399,no
22,+13125550104,no
23,415-555-013,no
24,+44 7700 900127,no
25,+16135550108,no
26,613-555-01O7,no
27,+44 161 496 0119,no
28,(415) 555-0192,no
29,unknown,no
30,+442079460177,no
31,604 555 0113,no
32,206-555-0153 ext. 12,no
33,5145550146,no
34,+1 212 555 0109,no
35,+415 555 0150,no
36,416.555.0193,no
37,303–555–0100,no
38,n/a,no
