id,phone,review
1,n/a,no
2,+16045550166,no
3,+15145550165,no
4,+12125550170,no
5,+415 555 0150,yes
6,+447700900169,no
7,-,no
8,+16135550108,no
9,+442079460168,no
10,303-555-0121 / 303-555-0137,yes
11,+14155550192,no
12,+442079460195,no
13,(015) 555-0112,yes
14,+447700900158,no
15,,no
16,+442079460177,no
17,+13035550199 ext 7,no
18,+13035550107 ext 305,no
19,+13125550104,no
20,+14155550164,no
21,+12125550109,no
22,+15145550146,no
23,+14165550193,no
24,unknown,no
25,+16045550113,no
26,+15145550186,no
27,555 0149,yes
28,512-555-01399,yes
29,+16135550107,no
30,+441174960188,no
31,+442079460176,no
32,+12065550153 ext 12,no
33,+441614960119,no
34,+13035550100,no
35,+447700900127,no
36,+16135550182,no
37,555-0126,yes
38,415-555-013,yes
