id,phone,review
1,+441174960188,no
2,555 0149,yes
3,+14155550164,no
4,303-555-0121 / 303-555-0137,yes
5,-,no
6,(015) 555-0112,yes
7,+442079460176,no
8,+13035550199 ext 7,no
9,+447700900158,no
10,+12125550170,no
11,+13035550107 ext 305,no
12,+15145550165,no
13,,no
14,+442079460168,no
15,+442079460195,no
16,555-0126,yes
17,+15145550186,no
18,+16045550166,no
19,+16135550182,no
20,+447700900169,no
21,512-555-01399,yes
22,+13125550104,no
23,415-555-013,yes
24,+447700900127,no
25,+16135550108,no
26,613-555-01O7,yes
27,+441614960119,no
28,+14155550192,no
29,unknown,no
30,+442079460177,no
31,+16045550113,no
32,+12065550153 ext 12,no
33,+15145550146,no
34,+12125550109,no
35,+415 555 0150,yes
36,+14165550193,no
37,+13035550100,no
38,n/a,no
