id,phone,review
1,+442079460142,no
2,+14155550141 ext 7,no
3,555-0112 ext 4,yes
4,+441614960191,no
5,+447700900128,no
6,+16175550104,no
7,303-555-0149 / 303-555-0167,yes
8,212-555-01949,yes
9,+14165550144,no
10,+1４１５５５５０１１１,no
11,+10155550119,no
12,+10000000000,no
13,+15145550103,no
14,+4407700900172,no
15,+13035550162 ext 12,no
16,+16135550192,no
17,011 44 20 7946 0143,yes
18,+15125550147,no
19,+16135550188,no
20,+14115550132,no
21,+12125550109 ext 204,no
22,Office: +44 20 7946 0117,yes
23,+447700900107,no
24,+4401614960160,no
25,+16045550110 ext 305,no
26,,no
27,011-44-7700-900100,yes
28,+442079460193 ext 12,no
29,+14165550166,no
30,555-0124,yes
31,+14155550198,no
32,+442079460174,no
33,+61255500176,no
34,n/a,no
35,00 44 113 496 0138,yes
36,212-555-018,yes
37,N/A,no
38,+12065550153,no
39,+4155550133,no
40,+14165550179,no
41,0044 7700 900175,yes
42,+14165550126,no
43,unknown,no
44,+14155550184 ext 7,no
45,+15125550140,no
46,+4401174960196,no
47,+14165550131,no
48,+14155550178,no
49,613-555-01O3,yes
50,-,no
51,+13035550137,no
52,+4402079460150,no
53,+610255500159,no
54,555 0177,yes
55,+12125550148 ext 3,no
56,312-555-0189 or 312-555-0187,yes
57,+13125550155,no
58,+15550135,no
59,+12065550182,no
60,+13125550163,no
61,+11555550161,no
62,+4402079460171,no
