id,phone
1,+44 20 7946 0142
2,+14155550141 ext 7
3,555-0112 ext 4
4,+44 161 496 0191
5,+44 7700 900128
6,+1-617-555-0104
7,303-555-0149 / 303-555-0167
8,212-555-01949
9,(416) 555-0144
10,４１５－５５５－０１１１
11,(015) 555-0119
12,000-000-0000
13,+1 514 555 0103
14,+44 (0)7700 900172
15,303-555-0162 ext. 12
16,+16135550192
17,011 44 20 7946 0143
18,5125550147
19,+16135550188
20,(411) 555-0132
21,(212) 555-0109 EXT 204
22,Office: +44 20 7946 0117
23,+447700900107
24,+44 0161 496 0160
25,(604) 555-0110 x305
26,
27,011-44-7700-900100
28,+44 20 7946 0193 x12
29,14165550166
30,555-0124
31,415 555 0198
32,+442079460174
33,+61 2 5550 0176
34,n/a
35,00 44 113 496 0138
36,212-555-018
37,N/A
38, 206-555-0153 
39,+415 555 0133
40,+1 (416) 555-0179
41,0044 7700 900175
42,1-416-555-0126
43,unknown
44,415.555.0184 extension 7
45,512 555 0140
46,+44 (0) 117 496 0196
47,416-555-0131
48,Tel: (415) 555-0178
49,613-555-01O3
50,-
51,303.555.0137
52,+44 020 7946 0150
53,+61 (0)2 5550 0159
54,555 0177
55,"212-555-0148, ext. 3"
56,312-555-0189 or 312-555-0187
57,cell 312.555.0155
58,+1 555 0135
59,1 (206) 555-0182
60,312–555–0163
61,(155) 555-0161
62,+44 (0)20 7946 0171
