id,phone,review
1,+44 20 7946 0142,no
2,+14155550141 ext 7,no
3,555-0112 ext 4,no
4,+44 161 496 0191,no
5,+44 7700 900128,no
6,+1-617-555-0104,no
7,303-555-0149 / 303-555-0167,no
8,212-555-01949,no
9,(416) 555-0144,no
10,４１５－５５５－０１１１,no
11,(015) 555-0119,no
12,000-000-0000,no
13,+1 514 555 0103,no
14,+44 (0)7700 900172,no
15,303-555-0162 ext. 12,no
16,+16135550192,no
17,011 44 20 7946 0143,no
18,5125550147,no
19,+16135550188,no
20,(411) 555-0132,no
21,(212) 555-0109 EXT 204,no
22,Office: +44 20 7946 0117,no
23,+447700900107,no
24,+44 0161 496 0160,no
25,(604) 555-0110 x305,no
26,,no
27,011-44-7700-900100,no
28,+44 20 7946 0193 x12,no
29,14165550166,no
30,555-0124,no
31,415 555 0198,no
32,+442079460174,no
33,+61 2 5550 0176,no
34,n/a,no
35,00 44 113 496 0138,no
36,212-555-018,no
37,N/A,no
38, 206-555-0153 ,no
39,+415 555 0133,no
40,+1 (416) 555-0179,no
41,0044 7700 900175,no
42,1-416-555-0126,no
43,unknown,no
44,415.555.0184 extension 7,no
45,512 555 0140,no
46,+44 (0) 117 496 0196,no
47,416-555-0131,no
48,Tel: (415) 555-0178,no
49,613-555-01O3,no
50,-,no
51,303.555.0137,no
52,+44 020 7946 0150,no
53,+61 (0)2 5550 0159,no
54,555 0177,no
55,"212-555-0148, ext. 3",no
56,312-555-0189 or 312-555-0187,no
57,cell 312.555.0155,no
58,+1 555 0135,no
59,1 (206) 555-0182,no
60,312–555–0163,no
61,(155) 555-0161,no
62,+44 (0)20 7946 0171,no
