id,phone,review
1,+13125550163,no
2,+447700900100,no
3,+61255500176,no
4,+12065550153,no
5,+441174960196,no
6,000-000-0000,yes
7,+12125550109 ext 204,no
8,+14155550141 ext 7,no
9,+12125550148 ext 3,no
10,303-555-0149 / 303-555-0167,yes
11,+15145550103,no
12,+14155550198,no
13,+16135550103,no
14,+442079460171,no
15,+447700900128,no
16,+14165550179,no
17,555 0177,yes
18,+16135550188,no
19,+442079460174,no
20,555-0124,yes
21,(411) 555-0132,yes
22,(155) 555-0161,yes
23,212-555-01949,yes
24,+13035550162 ext 12,no
25,+14165550144,no
26,n/a,no
27,(015) 555-0119,yes
28,+16045550110 ext 305,no
29,+13125550155,no
30,+415 555 0133,yes
31,,no
32,+442079460150,no
33,+16175550104,no
34,555-0112 ext 4,yes
35,+14155550178,no
36,+447700900172,no
37,+442079460143,no
38,-,no
39,+16135550192,no
40,+14155550184 ext 7,no
41,312-555-0189 or 312-555-0187,yes
42,+447700900107,no
43,+442079460117,no
44,+1 555 0135,yes
45,+14165550166,no
46,+14165550126,no
47,+441614960160,no
48,+15125550147,no
49,+442079460193 ext 12,no
50,+441614960191,no
51,+14165550131,no
52,+13035550137,no
53,N/A,no
54,212-555-018,yes
55,+14155550111,no
56,+15125550140,no
57,+447700900175,no
58,+441134960138,no
59,+12065550182,no
60,unknown,no
61,+61255500159,no
62,+442079460142,no
